TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-06 08:00:00,25.58,53.43,4.0,11.52,3.19,0.23,January,Winter,Christmas & New Year,53.43,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 09:00:00,28.35,59.43,4.0,11.51,3.05,0.23,January,Winter,Christmas & New Year,59.43,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 10:00:00,28.18,59.1,4.04,11.51,2.77,0.23,January,Winter,Christmas & New Year,59.1,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 11:00:00,26.89,56.28,3.98,11.5,2.77,0.23,January,Winter,Christmas & New Year,56.28,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 12:00:00,26.34,55.1,4.02,11.5,3.09,0.23,January,Winter,Christmas & New Year,55.1,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 13:00:00,29.63,62.24,4.05,11.49,2.95,0.23,January,Winter,Christmas & New Year,62.24,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 14:00:00,26.23,54.82,3.98,11.5,2.8,0.23,January,Winter,Christmas & New Year,54.82,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 15:00:00,26.26,54.9,4.05,11.5,2.75,0.23,January,Winter,Christmas & New Year,54.9,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 16:00:00,23.38,48.64,3.97,11.5,2.76,0.23,January,Winter,Christmas & New Year,48.64,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 17:00:00,24.74,51.62,3.92,11.5,2.83,0.23,January,Winter,Christmas & New Year,51.62,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 18:00:00,22.43,46.57,4.02,11.5,2.64,0.23,January,Winter,Christmas & New Year,46.57,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 19:00:00,18.82,38.76,3.93,11.5,2.47,0.23,January,Winter,Christmas & New Year,38.76,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
